# Table 1
Club performance Club Argentina,Club performance Season Argentina,Club performance League Argentina,League Apps League,League Goals League,Cup Apps Cup,Cup Goals Cup,League Cup Apps League Cup,League Cup Goals League Cup,Continental Apps South America,Continental Goals South America,Total Apps Total,Total Goals Total,Unnamed: 13_level_0 Unnamed: 13_level_1 Unnamed: 13_level_2
Quilmes,1972,Primera B,31,12,—,—,—,—,—,—,31,12,
Independiente,1973,Primera División,35,8,—,—,—,—,5,0,40,8,
Independiente,1974,Primera División,35,17,—,—,—,—,11,5,46,22,
Independiente,1975,Primera División,33,12,—,—,—,—,7,3,40,15,
Independiente,1976,Primera División,42,13,—,—,—,—,7,1,49,14,
Independiente,1977,Primera División,34,22,—,—,—,—,,,34,22,
Independiente,1978,Primera División,0,0,—,—,—,—,,,0,0,
Spain,Spain,Spain,League,League,Copa del Rey,Copa del Rey,Supercopa de España,Supercopa de España,Europe,Europe,Total,Total,
Sevilla,1978–79,La Liga,25,8,7,2,—,—,-,-,32,10,
Sevilla,1979–80,La Liga,32,16,7,4,—,—,-,-,39,20,
Italy,Italy,Italy,League,League,Coppa Italia,Coppa Italia,League Cup,League Cup,Europe,Europe,Total,Total,
Fiorentina,1980–81,Serie A,25,4,6,1,-,-,,,31,5,
Fiorentina,1981–82,Serie A,30,9,6,1,—,—,,,36,10,
Fiorentina,1982–83,Serie A,16,4,5,1,—,—,2,1,23,6,
Fiorentina,1983–84,Serie A,26,10,6,0,—,—,,,32,10,
Napoli,1984–85,Serie A,27,11,7,4,—,—,,,34,15,
Napoli,1985–86,Serie A,26,3,3,0,—,—,,,29,3,
Udinese,1986–87,Serie A,20,1,,,—,—,,,20,1,
Avellino,1987–88,Serie A,0,0,,,—,—,,,0,0,
Argentina,Argentina,Argentina,209,92,—,—,—,—,30,9,239,101,
Spain,Spain,Spain,57,24,14,6,—,—,-,-,71,30,
Italy,Italy,Italy,170,42,33,7,—,—,2,1,205,50,
Career total,Career total,Career total,436,158,47,13,—,—,32,10,515,181,
