# International goals by date, venue, opponent, score, result and competition
No.,Date,Venue,Opponent,Score,Result,Competition
1,4 September 2004,"Stadio Renzo Barbera, Palermo, Italy",Norway,1–1,2–1,2006 FIFA World Cup qualification
2,13 October 2004,"Stadio Ennio Tardini, Parma, Italy",Belarus,2–0,4–3,2006 FIFA World Cup qualification
3,1 March 2006,"Stadio Artemio Franchi, Florence, Italy",Germany,3–0,4–1,Friendly
4,11 October 2006,"Boris Paichadze Stadium, Tbilisi, Georgia",Georgia,1–0,3–1,UEFA Euro 2008 qualifying
5,17 June 2008,"Letzigrund, Zürich, Switzerland",France,2–0,2–0,UEFA Euro 2008
6,10 September 2008,"Stadio Friuli, Udine, Italy",Georgia,1–0,2–0,2010 FIFA World Cup qualification
7,10 September 2008,"Stadio Friuli, Udine, Italy",Georgia,2–0,2–0,2010 FIFA World Cup qualification
8,15 June 2009,"Loftus Versfeld Stadium, Pretoria, South Africa",United States,2–1,3–1,2009 FIFA Confederations Cup
9,14 June 2010,"Cape Town Stadium, Cape Town, South Africa",Paraguay,1–1,1–1,2010 FIFA World Cup
10,7 September 2010,"Stadio Artemio Franchi, Florence, Italy",Faroe Islands,2–0,5–0,UEFA Euro 2012 qualifying
11,15 August 2012,"Stade de Suisse, Bern, Switzerland",England,1–0,1–2,Friendly
12,12 October 2012,"Hrazdan Stadium, Yerevan, Armenia",Armenia,2–1,3–1,2014 FIFA World Cup qualification
13,16 October 2012,"Stadio Giuseppe Meazza, Milan, Italy",Denmark,2–0,3–1,2014 FIFA World Cup qualification
14,21 March 2013,"Stade de Genève, Geneva, Switzerland",Brazil,1–2,2–2,Friendly
15,19 June 2013,"Arena Pernambuco, Recife, Brazil",Japan,1–2,4–3,2013 FIFA Confederations Cup
16,4 September 2014,"Stadio San Nicola, Bari, Italy",Netherlands,2–0,2–0,Friendly
17,6 September 2015,"Stadio Renzo Barbera, Palermo, Italy",Bulgaria,1–0,1–0,UEFA Euro 2016 qualifying
18,6 June 2016,"Stadio Marc'Antonio Bentegodi, Verona, Italy",Finland,2–0,2–0,Friendly
19,6 October 2016,"Juventus Stadium, Turin, Italy",Spain,1–1,1–1,2018 FIFA World Cup qualification
20,24 March 2017,"Stadio Renzo Barbera, Palermo, Italy",Albania,1–0,2–0,2018 FIFA World Cup qualification
21,7 June 2017,"Allianz Riviera Stadium, Nice, France",Uruguay,3–0,3–0,Friendly
