# List of international goals scored by Darko Pančev
No.,Date,Venue,Opponent,Score,Result,Competition
1,25 March 1987,"Banja Luka, Yugoslavia",Austria,1–0,4–0,Friendly
2,25 March 1987,"Banja Luka, Yugoslavia",Austria,4–0,4–0,Friendly
3,23 August 1989,"Kuopio, Finland",Finland,1–1,2–2,Friendly
4,20 September 1989,"Novi Sad, Yugoslavia",Greece,3–0,3–0,Friendly
5,28 October 1989,"Marousi, Greece",Cyprus,2–1,2–1,Friendly
6,19 June 1990,"Bologna, Italy",United Arab Emirates,2–0,4–1,1990 FIFA World Cup
7,19 June 1990,"Bologna, Italy",United Arab Emirates,3–1,4–1,1990 FIFA World Cup
8,12 September 1990,"Belfast, Northern Ireland",Northern Ireland,1–0,2–0,UEFA Euro 1992 qualifying
9,31 October 1990,"Belgrade, Yugoslavia",Austria,1–1,4–1,UEFA Euro 1992 qualifying
10,31 October 1990,"Belgrade, Yugoslavia",Austria,3–1,4–1,UEFA Euro 1992 qualifying
11,31 October 1990,"Belgrade, Yugoslavia",Austria,4–1,4–1,UEFA Euro 1992 qualifying
12,27 March 1991,"Belgrade, Yugoslavia",Northern Ireland,2–1,4–1,UEFA Euro 1992 qualifying
13,27 March 1991,"Belgrade, Yugoslavia",Northern Ireland,3–1,4–1,UEFA Euro 1992 qualifying
14,27 March 1991,"Belgrade, Yugoslavia",Northern Ireland,4–1,4–1,UEFA Euro 1992 qualifying
15,1 May 1991,"Belgrade, Yugoslavia",Denmark,1–1,1–2,UEFA Euro 1992 qualifying
16,16 May 1991,"Belgrade, Yugoslavia",Faroe Islands,3–0,7–0,UEFA Euro 1992 qualifying
17,16 May 1991,"Belgrade, Yugoslavia",Faroe Islands,6–0,7–0,UEFA Euro 1992 qualifying
7–0,,,,,,
