# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Toulon,1985–86,Division 1,14,0,0,0,–,–,–,–,–,–,14,0
Toulon,1986–87,Division 1,35,0,1,0,–,–,–,–,–,–,36,0
Toulon,1987–88,Division 1,33,4,3,1,–,–,–,–,–,–,36,5
Toulon,Total,Total,82,4,4,1,–,–,–,–,–,–,86,5
Racing Paris,1988–89,Division 1,29,7,2,1,–,–,–,–,–,–,31,8
Racing Paris,1989–90,Division 1,32,1,6,1,–,–,–,–,–,–,38,2
Racing Paris,Total,Total,61,8,8,2,–,–,–,–,–,–,69,10
Brest,1990–91,Division 1,33,6,3,1,–,–,–,–,–,–,36,7
Brest,1991–92,Division 2,17,8,0,0,–,–,–,–,–,–,17,8
Brest,Total,Total,50,14,3,1,–,–,–,–,–,–,53,15
Paris Saint-Germain,1991–92,Division 1,15,3,2,1,–,–,–,–,–,–,17,4
Paris Saint-Germain,1992–93,Division 1,34,6,6,2,–,–,9,2,–,–,49,10
Paris Saint-Germain,1993–94,Division 1,38,13,3,3,–,–,8,2,–,–,49,18
Paris Saint-Germain,1994–95,Division 1,28,11,2,0,3,0,10,1,–,–,43,12
Paris Saint-Germain,Total,Total,115,33,13,6,3,0,27,5,–,–,158,44
Newcastle United,1995–96,Premier League,34,5,2,0,4,0,–,–,–,–,40,5
Newcastle United,1996–97,Premier League,24,1,2,0,2,0,7,1,1,0,36,2
Newcastle United,Total,Total,58,6,4,0,6,0,7,1,1,0,75,7
Tottenham Hotspur,1997–98,Premier League,34,6,3,1,3,2,–,–,–,–,40,9
Tottenham Hotspur,1998–99,Premier League,30,3,6,3,5,1,–,–,–,–,41,7
Tottenham Hotspur,1999–2000,Premier League,36,4,2,1,2,1,3,0,–,–,43,6
Tottenham Hotspur,Total,Total,100,13,11,5,10,4,3,0,–,–,124,22
Aston Villa,2000–01,Premier League,27,3,1,0,0,0,–,–,–,–,28,3
Aston Villa,2001–02,Premier League,5,0,0,0,2,0,6,2,–,–,13,2
Aston Villa,Total,Total,32,3,1,0,2,0,6,2,–,–,41,5
Everton,2001–02,Premier League,5,0,2,0,0,0,–,–,–,–,7,0
Career total,Career total,Career total,503,81,46,15,21,4,43,8,1,0,614,108
