# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Valencia B,2003–04,Segunda División B,14,1,—,—,—,—,—,—,—,—,14,1
Eibar (loan),2004–05,Segunda División,35,4,0,0,—,—,—,—,—,—,35,4
Celta Vigo (loan),2005–06,La Liga,34,4,4,0,—,—,—,—,—,—,38,4
Valencia,2006–07,La Liga,36,4,4,2,—,—,11,3,—,—,51,9
Valencia,2007–08,La Liga,34,5,8,1,—,—,8,1,—,—,50,7
Valencia,2008–09,La Liga,19,4,3,0,—,—,3,1,2,1,27,6
Valencia,2009–10,La Liga,30,8,2,1,—,—,8,1,—,—,40,10
Valencia,Total,Total,119,21,17,4,—,—,30,6,2,1,168,32
Manchester City,2010–11,Premier League,35,4,7,1,1,0,10,1,—,—,53,6
Manchester City,2011–12,Premier League,36,6,1,0,1,0,10,2,1,0,49,8
Manchester City,2012–13,Premier League,32,4,5,1,0,0,3,0,1,0,41,5
Manchester City,2013–14,Premier League,27,7,3,0,4,0,6,1,—,—,40,8
Manchester City,2014–15,Premier League,32,12,2,0,1,0,6,0,1,0,42,12
Manchester City,2015–16,Premier League,24,2,0,0,4,0,8,2,—,—,36,4
Manchester City,2016–17,Premier League,34,4,4,2,0,0,7,1,—,—,45,7
Manchester City,2017–18,Premier League,29,9,2,0,2,1,7,0,—,—,40,10
Manchester City,2018–19,Premier League,33,6,5,1,3,0,9,3,0,0,50,10
Manchester City,2019–20,Premier League,27,6,5,0,3,0,4,0,1,0,40,6
Manchester City,Total,Total,309,60,34,5,19,1,70,11,4,0,436,77
Real Sociedad,2020–21,La Liga,21,2,1,0,—,—,5,0,—,—,27,2
Real Sociedad,2021–22,La Liga,25,2,3,0,—,—,4,0,—,—,32,2
Real Sociedad,2022–23,La Liga,28,2,1,0,—,—,5,1,—,—,34,3
Real Sociedad,Total,Total,74,6,5,0,—,—,14,1,—,—,93,7
Career total,Career total,Career total,585,96,60,9,19,1,114,18,6,1,784,125
