# List of international goals scored by David Silva
No.,Date,Venue,Cap,Opponent,Score,Result,Competition
1,22 August 2007,"Toumba Stadium, Thessaloniki, Greece",6,Greece,2–2,3–2,Friendly
2,22 August 2007,"Toumba Stadium, Thessaloniki, Greece",6,Greece,3–2,3–2,Friendly
3,26 June 2008,"Ernst-Happel-Stadion, Vienna, Austria",18,Russia,3–0,3–0,UEFA Euro 2008
4,5 September 2009,"Estadio Riazor, A Coruña, Spain",28,Belgium,1–0,5–0,2010 FIFA World Cup qualification
5,5 September 2009,"Estadio Riazor, A Coruña, Spain",28,Belgium,4–0,5–0,2010 FIFA World Cup qualification
6,14 October 2009,"Bilino Polje Stadium, Zenica, Bosnia and Herzegovina",30,Bosnia and Herzegovina,2–0,5–2,2010 FIFA World Cup qualification
7,8 June 2010,"Estadio de La Condomina, Murcia, Spain",36,Poland,2–0,6–0,Friendly
8,11 August 2010,"Estadio Azteca, Mexico City, Mexico",39,Mexico,1–1,1–1,Friendly
9,3 September 2010,"Rheinpark Stadion, Vaduz, Liechtenstein",40,Liechtenstein,4–0,4–0,UEFA Euro 2012 qualification
10,8 October 2010,"Helmántico Stadium, Salamanca, Spain",42,Lithuania,3–1,3–1,UEFA Euro 2012 qualification
11,9 February 2011,"Santiago Bernabéu, Madrid, Spain",45,Colombia,1–0,1–0,Friendly
12,11 October 2011,"Estadio José Rico Pérez, Alicante, Spain",52,Scotland,1–0,3–1,UEFA Euro 2012 qualification
13,11 October 2011,"Estadio José Rico Pérez, Alicante, Spain",52,Scotland,2–0,3–1,UEFA Euro 2012 qualification
14,15 November 2011,"Estadio Nacional de Costa Rica, San José, Costa Rica",54,Costa Rica,1–2,2–2,Friendly
15,29 February 2012,"La Rosaleda, Málaga, Spain",55,Venezuela,2–0,5–0,Friendly
16,3 June 2012,"Estadio de La Cartuja, Seville, Spain",58,China,1–0,1–0,Friendly
17,14 June 2012,"Stadion Energa Gdańsk, Gdańsk, Poland",60,Republic of Ireland,2–0,4–0,UEFA Euro 2012
18,1 July 2012,"Olimpiyskiy National Sports Complex, Kyiv, Ukraine",65,Italy,1–0,4–0,UEFA Euro 2012
19,20 June 2013,"Maracanã Stadium, Rio de Janeiro, Brazil",74,Tahiti,2–0,10–0,2013 FIFA Confederations Cup
20,20 June 2013,"Maracanã Stadium, Rio de Janeiro, Brazil",74,Tahiti,10–0,10–0,2013 FIFA Confederations Cup
21,8 September 2014,"Estadi Ciutat de València, Valencia, Spain",86,Macedonia,4–1,5–1,UEFA Euro 2016 qualification
22,12 October 2014,"Stade Josy Barthel, Luxembourg City, Luxembourg",88,Luxembourg,1–0,4–0,UEFA Euro 2016 qualification
23,14 June 2015,"Borisov Arena, Barysaw, Belarus",92,Belarus,1–0,1–0,UEFA Euro 2016 qualification
24,1 June 2016,"Red Bull Arena, Salzburg, Austria",98,South Korea,1–0,6–1,Friendly
25,1 September 2016,"King Baudouin Stadium, Brussels, Belgium",104,Belgium,1–0,2–0,Friendly
26,1 September 2016,"King Baudouin Stadium, Brussels, Belgium",104,Belgium,2–0,2–0,Friendly
27,5 September 2016,"Estadio Reino de León, León, Spain",105,Liechtenstein,3–0,8–0,2018 FIFA World Cup qualification
28,5 September 2016,"Estadio Reino de León, León, Spain",105,Liechtenstein,8–0,8–0,2018 FIFA World Cup qualification
29,24 March 2017,"El Molinón, Gijón, Spain",110,Israel,1–0,4–1,2018 FIFA World Cup qualification
30,28 March 2017,"Stade de France, Paris, France",111,France,1–0,2–0,Friendly
31,7 June 2017,"Estadio Nueva Condomina, Murcia, Spain",112,Colombia,1–0,2–2,Friendly
32,11 June 2017,"Philip II Arena, Skopje, Macedonia",113,Macedonia,1–0,2–1,2018 FIFA World Cup qualification
33,5 September 2017,"Rheinpark Stadion, Vaduz, Liechtenstein",115,Liechtenstein,4–0,8–0,2018 FIFA World Cup qualification
34,11 November 2017,"La Rosaleda, Málaga, Spain",117,Costa Rica,3–0,5–0,Friendly
35,11 November 2017,"La Rosaleda, Málaga, Spain",117,Costa Rica,4–0,5–0,Friendly
