# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Platense,1993–94,Primera División,3,0,—,—,—,—,—,—,3,0
Platense,1994–95,Primera División,2,0,—,—,—,—,—,—,2,0
Platense,Total,Total,5,0,—,—,—,—,—,—,5,0
Monaco,1995–96,Division 1,4,0,0,0,—,—,1,0,5,0
Monaco,1996–97,Division 1,5,0,0,0,—,—,—,—,5,0
Monaco,1997–98,Division 1,27,18,3,1,9,4,2,1,41,24
Monaco,1998–99,Division 1,27,12,1,0,5,2,2,0,35,14
Monaco,1999–2000,Division 1,30,22,1,0,6,2,1,0,38,24
Monaco,Total,Total,93,52,5,1,21,8,6,1,125,62
Juventus,2000–01,Serie A,25,14,2,0,5,1,—,—,32,15
Juventus,2001–02,Serie A,34,24,2,0,10,8,—,—,46,32
Juventus,2002–03,Serie A,17,9,1,0,10,4,0,0,28,13
Juventus,2003–04,Serie A,25,16,3,1,5,4,1,1,34,22
Juventus,2004–05,Serie A,18,9,1,1,5,4,—,—,24,14
Juventus,2005–06,Serie A,32,23,0,0,9,6,1,0,42,29
Juventus,2006–07,Serie B,31,15,1,0,—,—,—,—,32,15
Juventus,2007–08,Serie A,36,20,3,0,—,—,—,—,39,20
Juventus,2008–09,Serie A,8,1,1,0,4,0,—,—,12,1
Juventus,2009–10,Serie A,19,7,0,0,8,3,—,—,27,10
Juventus,2010–11,Serie A,0,0,0,0,1,0,—,—,1,0
Juventus,Total,Total,245,138,16,2,57,30,2,1,320,171
Hércules,2010–11,La Liga,31,12,0,0,—,—,—,—,31,12
Baniyas,2011–12,UAE Pro League,3,0,0,0,—,—,1,0,4,0
River Plate,2011–12,Primera B Nacional,19,13,2,1,—,—,—,—,21,14
River Plate,2012–13,Primera División,16,3,0,0,—,—,—,—,16,3
River Plate,Total,Total,35,16,2,1,—,—,—,—,37,17
Newell's Old Boys,2013–14,Primera División,24,7,0,0,6,2,—,—,30,9
Pune City,2014,Indian Super League,9,2,0,0,—,—,—,—,9,2
Career total,Career total,Career total,445,227,23,4,82,40,9,2,559,273
