# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Continental Apps,Continental Goals,Total Apps,Total Goals
Sporting Gijón B,2000–01,Segunda División B,35,13,—,—,—,—,35,13
Sporting Gijón B,2001–02,Segunda División B,1,1,—,—,—,—,1,1
Sporting Gijón B,Total,Total,36,14,—,—,—,—,36,14
Sporting Gijón,2000–01,Segunda División,1,0,—,—,—,—,1,0
Sporting Gijón,2001–02,Segunda División,40,18,4,2,—,—,44,20
Sporting Gijón,2002–03,Segunda División,39,20,1,1,—,—,40,21
Sporting Gijón,Total,Total,80,38,5,3,—,—,85,41
Zaragoza,2003–04,La Liga,38,17,8,4,—,—,46,21
Zaragoza,2004–05,La Liga,35,15,3,0,10,3,48,18
Zaragoza,Total,Total,73,32,11,4,10,3,94,39
Valencia,2005–06,La Liga,37,25,4,2,6,1,47,28
Valencia,2006–07,La Liga,36,16,2,0,11,5,49,21
Valencia,2007–08,La Liga,28,18,6,3,7,3,41,24
Valencia,2008–09,La Liga,33,28,5,2,5,1,43,31
Valencia,2009–10,La Liga,32,21,2,0,11,7,45,28
Valencia,Total,Total,166,108,19,5,40,17,225,130
Barcelona,2010–11,La Liga,34,18,6,1,12,4,52,23
Barcelona,2011–12,La Liga,15,5,3,1,6,3,24,9
Barcelona,2012–13,La Liga,28,10,5,5,10,1,43,16
Barcelona,Total,Total,77,33,14,7,28,8,119,48
Atlético Madrid,2013–14,La Liga,36,13,4,2,7,0,47,15
Melbourne City (loan),2014–15,A-League,4,2,0,0,—,—,4,2
New York City FC,2015,MLS,30,18,0,0,—,—,30,18
New York City FC,2016,MLS,33,24,2,0,—,—,35,24
New York City FC,2017,MLS,31,24,3,0,—,—,34,24
New York City FC,2018,MLS,23,14,4,1,—,—,27,15
New York City FC,Total,Total,117,77,9,3,—,—,126,80
Vissel Kobe,2019,J1 League,28,13,1,0,—,—,29,13
Career total,Career total,Career total,617,330,63,24,85,28,765,382
