# Table 1
Club,Season,League Division,League Apps,League Goals,National Cup Apps,National Cup Goals,League Cup Apps,League Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Corinthians,1996,Série A,2,0,0,0,—,—,—,—,—,—,2,0
CSA,1997,Série C,0,0,1,0,—,—,—,—,—,—,1,0
Alverca (loan),1997–98,Segunda Divisão,32,12,1,1,—,—,—,—,—,—,33,13
Salgueiros,1998–99,Primeira Divisão,12,2,1,0,—,—,—,—,—,—,13,2
Porto,1998–99,Primeira Divisão,6,0,0,0,—,—,—,—,—,—,6,0
Porto,1999–2000,Primeira Liga,23,1,4,3,—,—,11,3,—,—,38,7
Porto,2000–01,Primeira Liga,31,6,4,0,—,—,10,0,2,0,47,6
Porto,2001–02,Primeira Liga,30,13,2,0,—,—,15,6,1,0,48,19
Porto,2002–03,Primeira Liga,30,10,3,1,—,—,12,1,—,—,45,12
Porto,2003–04,Primeira Liga,28,2,3,0,—,—,12,2,2,0,45,4
Porto,Total,Total,148,32,16,4,—,—,60,12,5,0,229,48
Barcelona,2004–05,La Liga,35,7,0,0,—,—,7,2,—,—,42,9
Barcelona,2005–06,La Liga,29,2,1,0,—,—,11,2,2,0,43,4
Barcelona,2006–07,La Liga,31,1,3,0,—,—,8,2,5,3,47,6
Barcelona,2007–08,La Liga,18,1,5,0,—,—,6,0,—,—,29,1
Barcelona,Total,Total,113,11,9,0,—,—,32,6,7,3,161,20
Chelsea,2008–09,Premier League,24,3,1,0,1,0,4,0,—,—,30,3
Chelsea,2009–10,Premier League,19,2,2,0,2,1,4,0,1,0,28,3
Chelsea,Total,Total,43,5,3,0,3,1,8,0,1,0,58,6
Fluminense,2010,Série A,16,1,—,—,—,—,—,—,—,—,16,1
Fluminense,2011,Série A,18,0,0,0,—,—,2,1,5,0,25,1
Fluminense,2012,Série A,17,1,0,0,—,—,8,1,11,3,36,5
Fluminense,2013,Série A,5,0,1,0,—,—,3,0,5,0,14,0
Fluminense,Total,Total,56,2,1,0,—,—,13,2,21,3,91,7
Career total,Career total,Career total,406,64,32,5,3,1,113,20,33,6,588,96
