# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,FA Cup Apps,FA Cup Goals,League Cup Apps,League Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Leeds United,1983–84,Second Division,12,0,1,0,0,0,—,—,—,—,13,0
Leeds United,1984–85,Second Division,41,1,1,0,3,0,—,—,—,—,45,1
Leeds United,1985–86,Second Division,19,0,1,0,2,0,—,—,2,0,24,0
Leeds United,Total,Total,72,1,3,0,5,0,—,—,2,0,82,1
Oldham Athletic,1986–87,Second Division,41,1,2,0,3,0,—,—,3,0,49,1
Oldham Athletic,1987–88,Second Division,43,0,1,0,5,3,—,—,0,0,49,3
Oldham Athletic,1988–89,Second Division,41,2,1,0,3,0,—,—,1,0,46,2
Oldham Athletic,1989–90,Second Division,42,1,9,0,8,0,—,—,1,0,60,1
Oldham Athletic,Total,Total,167,4,13,0,19,3,0,0,5,0,204,7
Manchester United,1990–91,First Division,34,0,3,0,8,0,6,0,1,0,52,0
Manchester United,1991–92,First Division,38,4,3,0,7,0,2,0,1,0,51,4
Manchester United,1992–93,Premier League,40,5,3,0,3,0,2,0,—,—,48,5
Manchester United,1993–94,Premier League,42,2,7,2,9,0,3,0,1,0,62,4
Manchester United,1994–95,Premier League,40,2,7,4,2,0,5,0,0,0,54,6
Manchester United,1995–96,Premier League,31,1,6,0,1,0,1,0,—,—,39,1
Manchester United,1996–97,Premier League,31,1,3,0,0,0,8,0,1,0,43,1
Manchester United,1997–98,Premier League,25,2,4,0,1,0,6,2,1,0,37,4
Manchester United,1998–99,Premier League,29,2,6,1,0,0,12,0,1,0,48,3
Manchester United,1999–2000,Premier League,25,3,—,—,0,0,13,0,4,0,42,3
Manchester United,2000–01,Premier League,21,0,1,0,0,0,7,2,1,0,30,2
Manchester United,2001–02,Premier League,12,0,0,0,0,0,10,0,1,0,23,0
Manchester United,Total,Total,368,22,43,7,31,0,75,4,12,0,529,33
Wolverhampton Wanderers,2002–03,First Division,43,2,4,0,2,0,—,—,3,0,52,2
Wolverhampton Wanderers,2003–04,Premier League,32,0,1,0,0,0,—,—,—,—,33,0
Wolverhampton Wanderers,Total,Total,75,2,5,0,2,0,—,—,3,0,85,2
Career total,Career total,Career total,682,29,64,7,57,3,75,4,22,0,900,43
