# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Ajax,1986–87,Eredivisie,14,2,5,0,–,–,4,0,–,–,23,2
Ajax,1987–88,Eredivisie,25,5,1,0,–,–,6,1,2,0,34,6
Ajax,1988–89,Eredivisie,30,13,3,3,–,–,1,0,–,–,34,16
Ajax,1989–90,Eredivisie,25,8,2,1,–,–,1,0,–,–,28,9
Ajax,1990–91,Eredivisie,33,25,3,1,–,–,0,0,–,–,36,26
Ajax,1991–92,Eredivisie,30,24,3,0,–,–,11,6,–,–,44,30
Ajax,1992–93,Eredivisie,28,26,4,4,–,–,8,3,–,–,40,33
Ajax,Total,Total,185,103,21,9,–,–,31,10,2,0,239,122
Inter Milan,1993–94,Serie A,31,8,6,2,–,–,11,8,–,–,48,18
Inter Milan,1994–95,Serie A,21,3,3,0,–,–,2,1,–,–,26,4
Inter Milan,Total,Total,52,11,9,2,–,–,13,9,–,–,74,22
Arsenal,1995–96,Premier League,33,11,1,0,7,5,–,–,–,–,41,16
Arsenal,1996–97,Premier League,29,12,2,1,2,1,1,0,–,–,34,14
Arsenal,1997–98,Premier League,28,16,7,3,4,2,1,1,–,–,40,22
Arsenal,1998–99,Premier League,29,12,6,3,1,0,3,1,1,0,40,16
Arsenal,1999–2000,Premier League,28,6,0,0,0,0,11,4,0,0,39,10
Arsenal,2000–01,Premier League,25,3,5,1,0,0,5,1,–,–,35,5
Arsenal,2001–02,Premier League,33,9,6,3,1,0,6,2,–,–,46,14
Arsenal,2002–03,Premier League,29,4,4,2,0,0,7,1,1,0,41,7
Arsenal,2003–04,Premier League,28,4,3,1,0,0,6,0,1,0,38,5
Arsenal,2004–05,Premier League,29,8,4,0,0,0,4,0,1,0,38,8
Arsenal,2005–06,Premier League,24,2,1,0,1,0,4,1,1,0,31,3
Arsenal,Total,Total,315,87,39,14,16,8,48,11,5,0,423,120
Career total,Career total,Career total,552,201,69,25,16,8,92,30,7,0,736,264
