# List of international goals scored by Dennis Bergkamp
No.,Date,Venue,Opponent,Score,Result,Competition
1,21 November 1990,"De Kuip, Rotterdam, Netherlands",Greece,1–0,2–0,UEFA Euro 1992 qualifying
2,19 December 1990,"Ta' Qali Stadium, Ta' Qali, Malta",Malta,5–0,8–0,UEFA Euro 1992 qualifying
3,19 December 1990,"Ta' Qali Stadium, Ta' Qali, Malta",Malta,7–0,8–0,UEFA Euro 1992 qualifying
4,11 September 1991,"Philips Stadion, Eindhoven, Netherlands",Poland,1–1,1–1,Friendly
5,4 December 1991,"Kaftanzoglio Stadium, Thessaloniki, Greece",Greece,1–0,2–0,UEFA Euro 1992 qualifying
6,27 May 1992,"Trendwork Arena, Sittard, Netherlands",Austria,2–0,3–2,Friendly
7,12 June 1992,"Ullevi, Gothenburg, Sweden",Scotland,1–0,1–0,UEFA Euro 1992
8,18 June 1992,"Ullevi, Gothenburg, Sweden",Germany,3–1,3–1,UEFA Euro 1992
9,22 June 1992,"Ullevi, Gothenburg, Sweden",Denmark,1–1,2–2,UEFA Euro 1992
10,9 September 1992,"Philips Stadion, Eindhoven, Netherlands",Italy,1–0,3–2,Friendly
11,9 September 1992,"Philips Stadion, Eindhoven, Netherlands",Italy,2–0,3–2,Friendly
12,23 September 1992,"Ullevaal, Oslo, Norway",Norway,1–1,1–2,1994 FIFA World Cup qualification
13,28 April 1993,"Wembley Stadium, London, England",England,1–2,2–2,1994 FIFA World Cup qualification
14,13 October 1993,"De Kuip, Rotterdam, Netherlands",England,2–0,2–0,1994 FIFA World Cup qualification
15,17 November 1993,"Stadion Miejski, Poznań, Poland",Poland,1–0,3–1,1994 FIFA World Cup qualification
16,17 November 1993,"Stadion Miejski, Poznań, Poland",Poland,2–1,3–1,1994 FIFA World Cup qualification
17,1 June 1994,"Philips Stadion, Eindhoven, Netherlands",Hungary,1–1,7–1,Friendly
18,1 June 1994,"Philips Stadion, Eindhoven, Netherlands",Hungary,7–1,7–1,Friendly
19,12 June 1994,"Varsity Stadium, Toronto, Canada",Canada,1–0,3–0,Friendly
20,29 June 1994,"Citrus Bowl, Orlando, United States",Morocco,1–0,2–1,1994 FIFA World Cup
21,4 July 1994,"Citrus Bowl, Orlando, United States",Republic of Ireland,1–0,2–0,1994 FIFA World Cup
22,9 July 1994,"Cotton Bowl, Dallas, United States",Brazil,1–2,2–3,1994 FIFA World Cup
23,29 March 1995,"De Kuip, Rotterdam, Netherlands",Malta,2–0,4–0,UEFA Euro 1996 qualifying
24,4 June 1996,"De Kuip, Rotterdam, Netherlands",Republic of Ireland,1–1,3–1,Friendly
25,13 June 1996,"Villa Park, Birmingham, England",Switzerland,2–0,2–0,UEFA Euro 1996
26,9 November 1996,"Philips Stadion, Eindhoven, Netherlands",Wales,1–0,7–1,1998 FIFA World Cup qualification
27,9 November 1996,"Philips Stadion, Eindhoven, Netherlands",Wales,6–0,7–1,1998 FIFA World Cup qualification
28,9 November 1996,"Philips Stadion, Eindhoven, Netherlands",Wales,7–1,7–1,1998 FIFA World Cup qualification
29,12 December 1996,"King Baudouin Stadium, Brussels, Belgium",Belgium,1–0,3–0,1998 FIFA World Cup qualification
30,26 February 1997,"Parc des Princes, Paris, France",France,1–0,1–2,Friendly
31,30 April 1997,"Stadio Olimpico, Serravalle, San Marino",San Marino,1–0,6–0,1998 FIFA World Cup qualification
32,30 April 1997,"Stadio Olimpico, Serravalle, San Marino",San Marino,6–0,6–0,1998 FIFA World Cup qualification
33,6 September 1997,"Amsterdam ArenA, Amsterdam, Netherlands",Belgium,3–1,3–1,1998 FIFA World Cup qualification
34,20 June 1998,"Stade Vélodrome, Marseille, France",South Korea,3–0,5–0,1998 FIFA World Cup
35,29 June 1998,"Stade de Toulouse, Toulouse, France",FR Yugoslavia,1–0,2–1,1998 FIFA World Cup
36,4 July 1998,"Stade Vélodrome, Marseille, France",Argentina,2–1,2–1,1998 FIFA World Cup
37,9 October 1999,"Amsterdam Arena, Amsterdam, Netherlands",Brazil,1–0,2–2,Friendly
