# Table 2
National Team,Year,Friendlies App,Friendlies Goals,International Competition App,International Competition Goals,Total App,Total Goals
Ivory Coast,,,,,,,
Ivory Coast,2002,0.0,0.0,1.0,0.0,1.0,0.0
Ivory Coast,2003,4.0,1.0,3.0,3.0,7.0,4.0
Ivory Coast,2004,3.0,3.0,4.0,3.0,7.0,6.0
Ivory Coast,2005,3.0,1.0,5.0,6.0,8.0,7.0
Ivory Coast,2006,7.0,4.0,8.0,4.0,15.0,8.0
Ivory Coast,2007,6.0,3.0,2.0,1.0,8.0,4.0
Ivory Coast,2008,2.0,1.0,6.0,3.0,8.0,4.0
Ivory Coast,2009,1.0,1.0,5.0,6.0,6.0,7.0
Ivory Coast,2010,5.0,2.0,6.0,2.0,11.0,4.0
Ivory Coast,2011,2.0,1.0,3.0,4.0,5.0,5.0
Ivory Coast,2012,4.0,2.0,10.0,7.0,14.0,9.0
Ivory Coast,2013,2.0,1.0,7.0,3.0,9.0,4.0
Ivory Coast,2014,3.0,3.0,3.0,0.0,6.0,3.0
Ivory Coast,Total,42.0,23.0,63.0,42.0,105.0,65.0
