# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National Cup Apps,National Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Flamengo,1985,Série A,–,–,,,,,,,,
Flamengo,1986,Série A,23,1,,,,,,,23.0,1.0
Flamengo,1987,Série A,7,0,,,,,,,7.0,0.0
Flamengo,1988,Série A,24,2,,,,,,,24.0,2.0
Flamengo,1989,Série A,–,–,,,,,,,,
Flamengo,Total,Total,54,3,,,,,,,54.0,3.0
Benfica,1989–90,Primeira Divisão,22,5,2,0,8,1,1,0,33.0,6.0
Roma,1990–91,Serie A,29,2,9,0,11,0,—,—,49.0,2.0
Roma,1991–92,Serie A,33,3,3,0,6,0,1,0,43.0,3.0
Roma,1992–93,Serie A,28,2,7,0,7,2,—,—,42.0,4.0
Roma,1993–94,Serie A,12,0,0,0,0,0,—,—,12.0,0.0
Roma,1994–95,Serie A,28,1,5,0,0,0,—,—,33.0,1.0
Roma,1995–96,Serie A,31,0,1,0,7,0,—,—,39.0,0.0
Roma,1996–97,Serie A,32,2,0,0,4,0,—,—,36.0,2.0
Roma,1997–98,Serie A,28,3,6,2,0,0,—,—,34.0,5.0
Roma,1998–99,Serie A,27,0,3,0,7,0,—,—,37.0,0.0
Roma,1999–2000,Serie A,34,1,4,0,8,1,—,—,46.0,2.0
Roma,2000–01,Serie A,15,0,1,0,3,1,—,—,19.0,1.0
Roma,2001–02,Serie A,16,0,1,0,6,0,0,0,23.0,0.0
Roma,2002–03,Serie A,17,0,1,0,5,0,—,—,23.0,0.0
Roma,Total,Total,330,14,41,2,64,4,1,0,436.0,20.0
Genoa,2003–04,Serie B,17,1,0,0,—,—,—,—,17.0,1.0
Rio Branco,2005,Série C,–,–,—,—,—,—,2,0,2.0,0.0
Murata,2007–08,Campionato Sammarinese,10,0,,,1,0,,,11.0,0.0
Murata,2008–09,Campionato Sammarinese,–,–,,,1,0,,,1.0,0.0
Murata,Total,Total,10,0,,,2,0,,,12.0,0.0
Total,Total,Total,433,23,43,2,74,5,4,0,554.0,30.0
