# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,State league Apps,State league Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
São Paulo,2003,Série A,23,1,1,0,–,–,–,–,6,1,1,0,31,2
São Paulo,2004,Série A,34,1,6,0,–,–,–,–,8,0,1,0,49,1
São Paulo,2005,Série A,27,5,14,1,–,–,–,–,13,1,7,0,65,7
São Paulo,2006,Série A,11,0,9,0,–,–,–,–,12,0,1,0,33,0
São Paulo,Total,Total,95,7,30,1,–,–,–,–,43,2,10,0,178,10
Fenerbahçe,2006–07,Süper Lig,24,4,–,–,5,0,–,–,7,1,–,–,36,5
Fenerbahçe,2007–08,Süper Lig,23,0,–,–,3,0,–,–,11,1,0,0,37,1
Fenerbahçe,2008–09,Süper Lig,25,7,–,–,7,0,–,–,9,0,–,–,41,7
Fenerbahçe,2009–10,Süper Lig,25,3,–,–,8,1,–,–,9,1,0,0,42,5
Fenerbahçe,2010–11,Süper Lig,28,7,–,–,2,2,–,–,2,0,–,–,32,9
Fenerbahçe,Total,Total,125,21,–,–,25,3,–,–,38,3,0,0,198,27
Paris Saint-Germain,2011–12,Ligue 1,12,0,–,–,3,1,1,0,5,0,–,–,21,1
Paris Saint-Germain,2012–13,Ligue 1,0,0,–,–,0,0,0,0,0,0,–,–,0,0
Paris Saint-Germain,Total,Total,12,0,–,–,3,1,1,0,5,0,–,–,21,1
Málaga(loan),2012–13,La Liga,11,0,–,–,0,0,–,–,–,–,–,–,11,0
West Bromwich Albion,2013–14,Premier League,9,1,–,–,1,0,2,0,–,–,–,–,12,1
BK Häcken,2015,Allsvenskan,11,0,–,–,0,0,–,–,–,–,–,–,11,0
Cerro Porteño,2015,Primera División,16,5,–,–,–,–,–,–,–,–,–,–,16,5
São Paulo,2016,Série A,13,2,0,0,1,0,–,–,4,0,7,0,25,2
São Paulo,2017,Série A,5,0,0,0,1,0,–,–,0,0,5,0,11,0
São Paulo,Total,Total,18,2,0,0,2,0,–,–,4,0,12,0,36,2
Career total,Career total,Career total,288,36,30,1,31,4,3,0,90,5,22,0,464,46
