# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Argentinos Juniors,1976,Argentine Primera División,11,2,–,–,–,–,–,–,11,2
Argentinos Juniors,1977,Argentine Primera División,49,19,–,–,–,–,–,–,49,19
Argentinos Juniors,1978,Argentine Primera División,35,26,–,–,–,–,–,–,35,26
Argentinos Juniors,1979,Argentine Primera División,26,26,–,–,–,–,–,–,26,26
Argentinos Juniors,1980,Argentine Primera División,45,43,–,–,–,–,–,–,45,43
Argentinos Juniors,Total,Total,166,116,–,–,–,–,–,–,166,116
Boca Juniors,1981,Argentine Primera División,40,28,–,–,–,–,–,–,40,28
Barcelona,1982–83,La Liga,20,11,5,3,4,5,6,4,35,23
Barcelona,1983–84,La Liga,16,11,4,1,3,3,–,–,23,15
Barcelona,Total,Total,36,22,9,4,7,8,6,4,58,38
Napoli,1984–85,Serie A,30,14,6,3,–,–,–,–,36,17
Napoli,1985–86,Serie A,29,11,2,2,–,–,–,–,31,13
Napoli,1986–87,Serie A,29,10,10,7,2,0,–,–,41,17
Napoli,1987–88,Serie A,28,15,9,6,2,0,–,–,39,21
Napoli,1988–89,Serie A,26,9,12,7,12,3,–,–,50,19
Napoli,1989–90,Serie A,28,16,3,2,5,0,–,–,36,18
Napoli,1990–91,Serie A,18,6,3,2,4,2,1,0,26,10
Napoli,Total,Total,188,81,45,29,25,5,1,0,259,115
Sevilla,1992–93,La Liga,26,5,4,2,–,–,–,–,30,7
Newell's Old Boys,1993–94,Argentine Primera División,5,0,–,–,–,–,–,–,5,0
Boca Juniors,1995–96,Argentine Primera División,24,5,–,–,–,–,–,–,24,5
Boca Juniors,1996–97,Argentine Primera División,1,0,–,–,–,–,1,0,2,0
Boca Juniors,1997–98,Argentine Primera División,5,2,–,–,–,–,–,–,5,2
Boca Juniors,Total,Total,70,35,–,–,–,–,1,0,71,35
Career total,Career total,Career total,491,259,58,35,32,13,8,4,589,311
