# Table 1
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Vélez Sársfield,1987–88,Primera División,28,4,,,,,,,28,4
Vélez Sársfield,1988–89,Primera División,16,2,,,,,,,16,2
Vélez Sársfield,1989–90,Primera División,32,8,,,,,,,32,8
Vélez Sársfield,Total,Total,76,14,,,,,,,76,14
Pisa,1990–91,Serie A,32,4,1,0,—,—,—,—,33,4
Pisa,1991–92,Serie B,24,2,4,0,—,—,—,—,28,2
Pisa,Total,Total,56,6,5,0,—,—,—,—,61,6
Sevilla,1992–93,La Liga,33,4,2,0,—,—,—,—,35,4
Sevilla,1993–94,La Liga,31,8,7,4,—,—,—,—,38,12
Sevilla,Total,Total,64,12,9,4,—,—,—,—,73,16
Atlético Madrid,1994–95,La Liga,29,6,8,2,—,—,—,—,37,8
Atlético Madrid,1995–96,La Liga,37,12,8,0,—,—,—,—,45,12
Atlético Madrid,1996–97,La Liga,32,3,3,0,7,4,2,0,44,7
Atlético Madrid,Total,Total,98,21,19,2,7,4,2,0,126,27
Inter Milan,1997–98,Serie A,30,6,2,0,9,1,—,—,41,7
Inter Milan,1998–99,Serie A,27,5,7,0,9,2,—,—,43,7
Inter Milan,Total,Total,57,11,9,0,18,3,—,—,84,14
Lazio,1999–2000,Serie A,28,5,7,2,11,0,1,0,47,7
Lazio,2000–01,Serie A,30,2,2,0,8,1,1,0,41,3
Lazio,2001–02,Serie A,8,1,0,0,5,0,—,—,13,1
Lazio,2002–03,Serie A,24,7,4,0,7,0,—,—,35,7
Lazio,Total,Total,90,15,13,2,31,1,2,0,136,18
Atlético Madrid,2003–04,La Liga,28,2,4,0,—,—,—,—,32,2
Atlético Madrid,2004–05,La Liga,8,0,1,0,6,1,—,—,15,1
Atlético Madrid,Total,Total,36,2,5,0,6,1,—,—,47,3
Racing Club,2004–05,Primera División,18,2,—,—,—,—,—,—,18,2
Racing Club,2005–06,Primera División,20,1,—,—,—,—,—,—,20,1
Racing Club,Total,Total,38,3,—,—,—,—,—,—,38,3
Career total,Career total,Career total,515,84,60,8,62,9,4,0,641,101
