# Table 3
No.,Date,Venue,Opponent,Score,Result,Competition
1,16 July 1988,"Bruce Stadium, Canberra, Australia",Saudi Arabia,1–0,2–0,Australia Bicentenary Gold Cup
2,12 July 1991,"Estadio Municipal, Concepción, Chile",Paraguay,2–0,4–1,1991 Copa América
3,21 July 1991,"Estadio Nacional de Chile, Santiago, Chile",Colombia,1–0,2–1,1991 Copa América
4,20 October 1992,"King Fahd II Stadium, Riyadh, Saudi Arabia",Saudi Arabia,3–0,3–1,1992 King Fahd Cup Final
5,23 June 1993,"Estadio George Capwell, Guayaquil, Ecuador",Colombia,1–0,1–1,1993 Copa América
6,22 June 1995,"Estadio Malvinas Argentinas, Mendoza, Argentina",Slovakia League,5–0,6–0,Friendly
7,11 July 1995,"Estadio Parque Artigas, Paysandú, Uruguay",Chile,2–0,4–0,1995 Copa América
8,20 June 1996,"Tucumán, Argentina",Poland B League,–,2–0,Copa La Gaceta
9,9 October 1996,"Polideportivo de Pueblo Nuevo, San Cristóbal, Venezuela",Venezuela,3–1,5–2,1998 FIFA World Cup qualification
10,8 June 1997,"El Monumental, Buenos Aires, Argentina",Ecuador,2–0,2–0,1998 FIFA World Cup qualification
11,1 July 1999,"Estadio Feliciano Cáceres, Luque, Paraguay",Ecuador,1–0,3–1,1999 Copa América
