# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National Cup Apps,National Cup Goals,League Cup Apps,League Cup Goals,Continental Apps,Continental Goals,Total Apps,Total Goals
Internacional,1982,Série A,1,0,,,,,,,1,0
Internacional,1983,Série A,4,0,,,,,,,4,0
Internacional,1984,Série A,5,0,,,,,,,5,0
Internacional,Total,Total,10,0,,,,,,,10,0
Corinthians,1985,Série A,13,1,,,,,,,13,1
Santos,1986,Série A,16,1,,,,,,,16,1
Vasco da Gama,1987,Série A,17,1,,,,,,,17,1
Pisa,1987–88,Serie A,23,2,6,1,-,-,-,-,29,3
Fiorentina,1988–89,Serie A,30,3,8,1,-,-,-,-,38,4
Fiorentina,1989–90,Serie A,28,0,2,1,-,-,11,0,41,1
Fiorentina,1990–91,Serie A,33,1,6,1,-,-,-,-,39,2
Fiorentina,1991–92,Serie A,33,4,4,1,-,-,-,-,37,5
Fiorentina,Total,Total,124,8,20,4,0,0,11,0,155,12
Pescara,1992–93,Serie A,23,3,-,-,-,-,-,-,23,3
VfB Stuttgart,1993–94,Bundesliga,27,4,,,,,,,27,4
VfB Stuttgart,1994–95,Bundesliga,26,4,,,,,,,26,4
VfB Stuttgart,Total,Total,53,8,,,,,,,53,8
Júbilo Iwata,1995,J1 League,25,1,2,0,-,-,-,-,27,1
Júbilo Iwata,1996,J1 League,20,4,1,0,13,0,-,-,34,4
Júbilo Iwata,1997,J1 League,26,5,0,0,11,1,-,-,37,6
Júbilo Iwata,1998,J1 League,28,6,0,0,0,0,-,-,28,6
Júbilo Iwata,Total,Total,99,16,3,0,24,1,-,-,126,17
Internacional,1999,Série A,15,1,,,,,,,15,1
Career total,Career total,Career total,393,41,29,5,24,1,11,0,457,47
