# Appearances and goals by national team and year
National team,Year,Apps,Goals
Trinidad and Tobago,1989,10,2
Trinidad and Tobago,1990,0,0
Trinidad and Tobago,1991,0,0
Trinidad and Tobago,1992,5,0
Trinidad and Tobago,1993,1,1
Trinidad and Tobago,1994,1,0
Trinidad and Tobago,1995,0,0
Trinidad and Tobago,1996,5,1
Trinidad and Tobago,1997,0,0
Trinidad and Tobago,1998,0,0
Trinidad and Tobago,1999,1,0
Trinidad and Tobago,2000,9,8
Trinidad and Tobago,2001,7,1
Trinidad and Tobago,2002,0,0
Trinidad and Tobago,2003,0,0
Trinidad and Tobago,2004,1,0
Trinidad and Tobago,2005,13,0
Trinidad and Tobago,2006,9,3
Trinidad and Tobago,2007,0,0
Trinidad and Tobago,2008,6,2
Trinidad and Tobago,2009,4,1
Total,Total,72,19
