# List of international goals scored by Dwight Yorke
No.,Date,Venue,Opponent,Score,Result,Competition
1,9 July 1989,"Bridgetown, Barbados",Grenada,1–0,2–1,1989 Caribbean Cup
2,9 July 1989,"Bridgetown, Barbados",Grenada,2–1,2–1,1989 Caribbean Cup
3,21 May 1993,"Montego Bay, Jamaica",Saint Vincent and the Grenadines,,4–1,1993 Caribbean Cup
4,23 June 1996,"Port of Spain, Trinidad and Tobago",Dominican Republic,2–0,8–0,1998 FIFA World Cup qualification
5,15 February 2000,"Los Angeles, United States",Guatemala,4–2,4–2,2000 CONCACAF Gold Cup
6,7 May 2000,"Port of Spain, Trinidad and Tobago",Haiti,3–0,3–1,2002 FIFA World Cup qualification
7,19 May 2000,"Port-au-Prince, Haiti",Haiti,1–0,1–1,2002 FIFA World Cup qualification
8,8 July 2000,"Port of Spain, Trinidad and Tobago",Jamaica,1–0,2–4,Friendly
9,8 July 2000,"Port of Spain, Trinidad and Tobago",Jamaica,2–3,2–4,Friendly
10,16 July 2000,"Edmonton, Canada",Canada,2–0,2–0,2002 FIFA World Cup qualification
11,16 August 2000,"Port of Spain, Trinidad and Tobago",Panama,3–0,6–0,2002 FIFA World Cup qualification
12,16 August 2000,"Port of Spain, Trinidad and Tobago",Panama,5–0,6–0,2002 FIFA World Cup qualification
13,23 June 2001,"Hamilton, Bermuda",Bermuda,1–0,5–0,Friendly
14,28 February 2006,"London, England",Iceland,1–0,2–0,Friendly
15,28 February 2006,"London, England",Iceland,2–0,2–0,Friendly
16,7 October 2006,"Port of Spain, Trinidad and Tobago",Saint Vincent and the Grenadines,4–0,5–0,Friendly
17,15 October 2008,"Port of Spain, Trinidad and Tobago",United States,2–1,2–1,2010 FIFA World Cup qualification
18,19 November 2008,"Port of Spain, Trinidad and Tobago",Cuba,2–0,3–0,2010 FIFA World Cup qualification
19,11 February 2009,"San Salvador, El Salvador",El Salvador,2–0,2–2,2010 FIFA World Cup qualification
