# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Lille II,2007–08,CFA,11,1,—,—,—,—,—,—,—,—,11,1
Lille II,2008–09,CFA,2,0,—,—,—,—,—,—,—,—,2,0
Lille II,Total,Total,13,1,—,—,—,—,—,—,—,—,13,1
Lille,2007–08,Ligue 1,4,0,0,0,0,0,—,—,—,—,4,0
Lille,2008–09,Ligue 1,30,4,4,2,1,0,—,—,—,—,35,6
Lille,2009–10,Ligue 1,37,5,1,0,2,1,12,4,—,—,52,10
Lille,2010–11,Ligue 1,38,7,5,3,2,2,9,0,—,—,54,12
Lille,2011–12,Ligue 1,38,20,3,1,1,0,6,0,1,1,49,22
Lille,Total,Total,147,36,13,6,6,3,27,4,1,1,194,50
Chelsea,2012–13,Premier League,34,9,6,1,5,2,13,1,4,0,62,13
Chelsea,2013–14,Premier League,35,14,3,0,1,0,9,2,1,1,49,17
Chelsea,2014–15,Premier League,38,14,1,0,6,2,7,3,—,—,52,19
Chelsea,2015–16,Premier League,31,4,2,2,1,0,8,0,1,0,43,6
Chelsea,2016–17,Premier League,36,16,4,1,3,0,—,—,—,—,43,17
Chelsea,2017–18,Premier League,34,12,5,1,4,1,8,3,0,0,51,17
Chelsea,2018–19,Premier League,37,16,2,0,5,3,8,2,0,0,52,21
Chelsea,Total,Total,245,85,23,5,25,8,53,11,6,1,352,110
Real Madrid,2019–20,La Liga,16,1,0,0,—,—,6,0,0,0,22,1
Real Madrid,2020–21,La Liga,14,3,1,0,—,—,5,1,1,0,21,4
Real Madrid,2021–22,La Liga,18,0,2,1,—,—,3,0,0,0,23,1
Real Madrid,2022–23,La Liga,6,0,1,0,—,—,3,1,0,0,10,1
Real Madrid,Total,Total,54,4,4,1,—,—,17,2,1,0,76,7
Career total,Career total,Career total,459,126,40,12,31,11,97,17,8,2,635,168
