# List of international goals scored by Edinson Cavani
No.,Date,Venue,Opponent,Score,Result,Competition
1,6 February 2008,"Estadio Centenario, Montevideo, Uruguay",Colombia,1–2,2–2,Friendly
2,3 March 2010,"AFG Arena, St. Gallen, Switzerland",Switzerland,3–1,3–1,Friendly
3,10 July 2010,"Nelson Mandela Bay Stadium, Port Elizabeth, South Africa",Germany,1–1,2–3,2010 FIFA World Cup
4,11 August 2010,"Estádio do Restelo, Lisbon, Portugal",Angola,1–0,2–0,Friendly
5,8 October 2010,"Gelora Bung Karno Stadium, Jakarta, Indonesia",Indonesia,1–1,7–1,Friendly
6,8 October 2010,"Gelora Bung Karno Stadium, Jakarta, Indonesia",Indonesia,6–1,7–1,Friendly
7,8 October 2010,"Gelora Bung Karno Stadium, Jakarta, Indonesia",Indonesia,7–1,7–1,Friendly
8,12 October 2010,"Wuhan Sports Center Stadium, Wuhan, China",China,2–0,4–0,Friendly
9,30 March 2011,"Aviva Stadium, Dublin, Republic of Ireland",Republic of Ireland,2–1,3–2,Friendly
10,7 October 2011,"Estadio Centenario, Montevideo, Uruguay",Bolivia,3–1,4–2,2014 FIFA World Cup qualification
11,29 February 2012,"Arena Națională, Bucharest, Romania",Romania,1–0,1–1,Friendly
12,11 September 2012,"Estadio Centenario, Montevideo, Uruguay",Ecuador,1–1,1–1,2014 FIFA World Cup qualification
13,14 November 2012,"PGE Arena Gdańsk, Gdańsk, Poland",Poland,2–0,3–1,Friendly
14,12 June 2013,"Polideportivo Cachamay, Puerto Ordaz, Venezuela",Venezuela,1–0,1–0,2014 FIFA World Cup qualification
15,26 June 2013,"Mineirão, Belo Horizonte, Brazil",Brazil,1–1,1–2,2013 FIFA Confederations Cup
16,30 June 2013,"Itaipava Arena Fonte Nova, Salvador, Brazil",Italy,1–1,2–2 (a.e.t.),2013 FIFA Confederations Cup
17,30 June 2013,"Itaipava Arena Fonte Nova, Salvador, Brazil",Italy,2–2,2–2 (a.e.t.),2013 FIFA Confederations Cup
18,10 September 2013,"Estadio Centenario, Montevideo, Uruguay",Colombia,1–0,2–0,2014 FIFA World Cup qualification
19,15 October 2013,"Estadio Centenario, Montevideo, Uruguay",Argentina,3–2,3–2,2014 FIFA World Cup qualification
20,13 November 2013,"Amman International Stadium, Amman, Jordan",Jordan,5–0,5–0,2014 FIFA World Cup qualification
21,4 June 2014,"Estadio Centenario, Montevideo, Uruguay",Slovenia,1–0,2–0,Friendly
22,14 June 2014,"Estádio Castelão, Fortaleza, Brazil",Costa Rica,1–0,1–3,2014 FIFA World Cup
23,5 September 2014,"Sapporo Dome, Sapporo, Japan",Japan,1–0,2–0,Friendly
24,13 November 2014,"Estadio Centenario, Montevideo, Uruguay",Costa Rica,3–2,3–3,Friendly
25,28 March 2015,"Stade Adrar, Agadir, Morocco",Morocco,1–0,1–0,Friendly
26,6 June 2015,"Estadio Centenario, Montevideo, Uruguay",Guatemala,2–0,5–1,Friendly
27,6 June 2015,"Estadio Centenario, Montevideo, Uruguay",Guatemala,3–0,5–1,Friendly
28,12 November 2015,"Estadio Olímpico Atahualpa, Quito, Ecuador",Ecuador,1–1,1–2,2018 FIFA World Cup qualification
29,25 March 2016,"Itaipava Arena Pernambuco, Recife, Brazil",Brazil,1–2,2–2,2018 FIFA World Cup qualification
30,29 March 2016,"Estadio Centenario, Montevideo, Uruguay",Peru,1–0,1–0,2018 FIFA World Cup qualification
31,27 May 2016,"Estadio Centenario, Montevideo, Uruguay",Trinidad and Tobago,1–1,3–1,Friendly
32,27 May 2016,"Estadio Centenario, Montevideo, Uruguay",Trinidad and Tobago,2–1,3–1,Friendly
