# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Castilla,1981–82,Segunda División,6,3,0,0,0,0,–,–,–,–,6,3
Castilla,1982–83,Segunda División,38,13,4,0,3,0,–,–,–,–,45,13
Castilla,1983–84,Segunda División,21,21,10,3,0,0,–,–,–,–,31,24
Castilla,Total,Total,65,37,14,3,3,0,0,0,4,3,82,40
Real Madrid,1983–84,La Liga,10,4,0,0,2,2,—,—,—,—,12,6
Real Madrid,1984–85,La Liga,29,10,0,0,2,0,11,4,—,—,42,14
Real Madrid,1985–86,La Liga,31,10,6,2,0,0,12,2,—,—,49,14
Real Madrid,1986–87,La Liga,35,11,3,3,—,—,7,5,—,—,45,19
Real Madrid,1987–88,La Liga,32,12,3,0,—,—,8,2,—,—,43,14
Real Madrid,1988–89,La Liga,33,15,5,2,—,—,8,4,2,1,48,22
Real Madrid,1989–90,La Liga,32,10,6,2,—,—,2,2,—,—,40,14
Real Madrid,1990–91,La Liga,35,19,2,0,—,—,4,4,2,2,43,25
Real Madrid,1991–92,La Liga,35,14,6,4,—,—,9,1,—,—,50,19
Real Madrid,1992–93,La Liga,34,9,3,1,—,—,6,1,—,—,43,11
Real Madrid,1993–94,La Liga,27,8,2,1,—,—,4,2,—,—,33,11
Real Madrid,1994–95,La Liga,8,1,0,0,—,—,4,0,—,—,12,1
Real Madrid,Total,Total,341,123,36,15,4,2,75,27,4,3,460,170
Celaya,1995–96,Liga MX,34,17,—,—,—,—,—,—,—,—,34,17
Celaya,1996–97,Liga MX,26,2,—,—,—,—,—,—,—,—,26,2
Celaya,1997–98,Liga MX,31,10,—,—,—,—,—,—,—,—,31,10
Celaya,Total,Total,91,29,—,—,—,—,—,—,—,—,91,29
Career total,Career total,Career total,497,189,50,18,7,2,75,27,4,3,633,239
