# List of international goals scored by Emilio Butragueño
No.,Date,Venue,Opponent,Score,Result,Competition
1,17 October 1984,"Benito Villamarín, Seville, Spain",Wales,3–0,3–0,1986 World Cup qualification
2,23 January 1985,"Rico Pérez, Alicante, Spain",Finland,2–0,3–1,Friendly
3,23 January 1985,"Rico Pérez, Alicante, Spain",Finland,3–0,3–1,Friendly
4,19 February 1986,"Martínez Valero, Elche, Spain",Belgium,1–0,3–0,Friendly
5,26 March 1986,"Ramón de Carranza, Cádiz, Spain",Poland,1–0,3–0,Friendly
6,7 June 1986,"Tres de Marzo, Guadalajara, Mexico",Northern Ireland,1–0,2–1,1986 FIFA World Cup
7,18 June 1986,"La Corregidora, Querétaro, Mexico",Denmark,1–1,5–1,1986 FIFA World Cup
8,18 June 1986,"La Corregidora, Querétaro, Mexico",Denmark,2–1,5–1,1986 FIFA World Cup
9,18 June 1986,"La Corregidora, Querétaro, Mexico",Denmark,4–1,5–1,1986 FIFA World Cup
10,18 June 1986,"La Corregidora, Querétaro, Mexico",Denmark,5–1,5–1,1986 FIFA World Cup
11,15 October 1986,"Niedersachsenstadion, Hanover, Germany",West Germany,1–0,2–2,Friendly
12,18 February 1987,"Santiago Bernabéu, Madrid, Spain",England,1–0,2–4,Friendly
13,23 September 1987,"Nou Castalia, Castellón, Spain",Luxembourg,2–0,2–0,Friendly
14,1 June 1988,"El Helmántico, Salamanca, Spain",Sweden,1–0,1–3,Friendly
15,11 June 1988,"Niedersachsenstadion, Hanover, Germany",Denmark,2–1,3–2,UEFA Euro 1988
16,12 October 1988,"Ramón Sánchez Pizjuán, Seville, Spain",Argentina,1–0,1–1,Friendly
17,16 November 1988,"Benito Villamarín, Seville, Spain",Republic of Ireland,2–0,2–0,1990 World Cup qualification
18,21 December 1988,"Sánchez Pizjuán, Seville, Spain",Northern Ireland,2–0,4–0,1990 World Cup qualification
19,15 November 1989,"Sánchez Pizjuán, Seville, Spain",Hungary,2–0,4–0,1990 World Cup qualification
20,28 March 1990,"La Rosaleda, Málaga, Spain",Austria,2–0,2–3,Friendly
21,26 May 1990,"Bežigrad, Ljubljana, Yugoslavia",Yugoslavia,1–0,1–0,Friendly
22,10 October 1990,"Benito Villamarín, Seville, Spain",Iceland,1–0,2–1,Euro 1992 qualifying
23,19 December 1990,"Sánchez Pizjuán, Seville, Spain",Albania,3–0,9–0,Euro 1992 qualifying
24,19 December 1990,"Sánchez Pizjuán, Seville, Spain",Albania,5–0,9–0,Euro 1992 qualifying
25,19 December 1990,"Sánchez Pizjuán, Seville, Spain",Albania,7–0,9–0,Euro 1992 qualifying
26,19 December 1990,"Sánchez Pizjuán, Seville, Spain",Albania,8–0,9–0,Euro 1992 qualifying
