# List of international goals scored by Emmanuel Sanon
No.,Date,Venue,Opponent,Score,Result,Competition
1,14 April 1970,"Stade Sylvio Cator, Port-au-Prince, Haiti",Bermuda,,1–1,Friendly
2,31 October 1971,"Stade Louis Achille, Fort-de-France, Martinique",Martinique,,2–2,Friendly
3,28 November 1971,"Queen's Park Oval, Port of Spain, Trinidad and Tobago",Trinidad and Tobago,,6–1,1971 CONCACAF Championship
4,1 December 1971,"Queen's Park Oval, Port of Spain, Trinidad and Tobago",Honduras,,3–1,1971 CONCACAF Championship
5,13 February 1972,"Basseterre, Saint Kitts and Nevis",Guadeloupe,,4–4,Friendly
6,15 April 1972,"Stade Sylvio Cator, Port-au-Prince, Haiti",Puerto Rico,,7–0,1973 CONCACAF Championship qualification
7,15 April 1972,"Stade Sylvio Cator, Port-au-Prince, Haiti",Puerto Rico,,7–0,1973 CONCACAF Championship qualification
8,15 April 1972,"Stade Sylvio Cator, Port-au-Prince, Haiti",Puerto Rico,,7–0,1973 CONCACAF Championship qualification
9,23 April 1972,"San Juan, Puerto Rico",Puerto Rico,,5–0,1973 CONCACAF Championship qualification
10,23 April 1972,"San Juan, Puerto Rico",Puerto Rico,,5–0,1973 CONCACAF Championship qualification
11,23 April 1972,"San Juan, Puerto Rico",Puerto Rico,,5–0,1973 CONCACAF Championship qualification
12,14 December 1972,"Stade Sylvio Cator, Port-au-Prince, Haiti",Netherlands Antilles,1–0,3–0,Friendly
13,14 December 1972,"Stade Sylvio Cator, Port-au-Prince, Haiti",Netherlands Antilles,2–0,3–0,Friendly
14,14 December 1972,"Stade Sylvio Cator, Port-au-Prince, Haiti",Netherlands Antilles,3–0,3–0,Friendly
15,17 December 1972,"Stade Sylvio Cator, Port-au-Prince, Haiti",Netherlands Antilles,,4–1,Friendly
16,30 January 1973,"Bourda, Georgetown, Guyana",Guyana,,3–1,Friendly
17,6 February 1973,"Kensington Oval, Bridgetown, Barbados",Barbados,,2–3,Friendly
18,8 February 1973,"Queen's Park Oval, Port of Spain, Trinidad and Tobago",Trinidad and Tobago,,4–2,Friendly
19,5 November 1973,"Stade Sylvio Cator, Port-au-Prince, Haiti",United States,1–0,1–0,Friendly
20,10 November 1973,"Stade Sylvio Cator, Port-au-Prince, Haiti",Canada,,5–1,Friendly
21,10 November 1973,"Stade Sylvio Cator, Port-au-Prince, Haiti",Canada,,5–1,Friendly
22,10 November 1973,"Stade Sylvio Cator, Port-au-Prince, Haiti",Canada,,5–1,Friendly
23,1 December 1973,"Stade Sylvio Cator, Port-au-Prince, Haiti",Netherlands Antilles,,3–0,1973 CONCACAF Championship
24,1 December 1973,"Stade Sylvio Cator, Port-au-Prince, Haiti",Netherlands Antilles,,3–0,1973 CONCACAF Championship
25,4 December 1973,"Stade Sylvio Cator, Port-au-Prince, Haiti",Trinidad and Tobago,,2–1,1973 CONCACAF Championship
26,13 December 1973,"Stade Sylvio Cator, Port-au-Prince, Haiti",Guatemala,,2–1,1973 CONCACAF Championship
27,13 December 1973,"Stade Sylvio Cator, Port-au-Prince, Haiti",Guatemala,,2–1,1973 CONCACAF Championship
28,13 November 1974,"Stade Sylvio Cator, Port-au-Prince, Haiti",Poland,,2–1,Friendly
29,15 June 1974,"Olympic Stadium, Munich, West Germany",Italy,,1–3,1974 FIFA World Cup
30,23 June 1974,"Olympic Stadium, Munich, West Germany",Argentina,,1–4,1974 FIFA World Cup
31,30 July 1976,"National Stadium, Oranjestad, Netherlands Antilles",Netherlands Antilles,,2–1,1977 CONCACAF Championship qualification
32,30 July 1976,"National Stadium, Oranjestad, Netherlands Antilles",Netherlands Antilles,,2–1,1977 CONCACAF Championship qualification
33,14 August 1976,"Stade Sylvio Cator, Port-au-Prince, Haiti",Netherlands Antilles,,7–0,1977 CONCACAF Championship qualification
34,14 August 1976,"Stade Sylvio Cator, Port-au-Prince, Haiti",Netherlands Antilles,,7–0,1977 CONCACAF Championship qualification
35,28 November 1976,"Estadio Pedro Marrero, Havana, Cuba",Cuba,,1–1,1977 CONCACAF Championship qualification
36,11 December 1976,"Stade Sylvio Cator, Port-au-Prince, Haiti",Cuba,,1–1,1977 CONCACAF Championship qualification
37,16 October 1977,"Estadio Azteca, Mexico City, Mexico",El Salvador,1–0,1–0,1977 CONCACAF Championship
