# List of international goals scored by Enzo Francescoli
No.,Date,Venue,Opponent,Score,Result,Competition
–,17 February 1982,"Eden Gardens, Calcutta, India",Yugoslavia,1–0,1–0,Unofficial match (Nehru Cup)
–,28 February 1982,"Eden Gardens, Calcutta, India",Italy,2–0,3–2,Unofficial match (Nehru Cup)
1,27 October 1983,"Estadio Centenario, Montevideo, Uruguay",Brazil,1–0,2–0,1983 Copa América
2,29 January 1985,"Estadio Centenario, Montevideo, Uruguay",East Germany,1–0,3–0,Friendly
3,3 February 1985,"Estadio Centenario, Montevideo, Uruguay",Paraguay,1–0,1–0,Artigas Cup
4,6 February 1985,"Estadio Félix Capriles, Cochabamba, Bolivia",Bolivia,1–0,1–0,Friendly
5,24 February 1985,"Estadio Centenario, Montevideo, Uruguay",Colombia,2–0,3–0,Friendly
6,31 March 1985,"Estadio Olímpico Atahualpa, Quito, Ecuador",Ecuador,2–0,2–0,1986 World Cup qualification
7,8 June 1986,"Estadio Neza 86, Nezahualcóyotl, Mexico",Denmark,1–2,1–6,1986 FIFA World Cup
8.,14 December 1988,"Estadio Centenario, Montevideo, Uruguay",Peru,1–0,3–0,MUFP Cup
9,14 December 1988,"Estadio Centenario, Montevideo, Uruguay",Peru,2–0,3–0,MUFP Cup
10,6 July 1989,"Estádio Serra Dourada, Goiânia, Brazil",Chile,3–0,3–0,1989 Copa América
11,12 July 1989,"Estádio do Maracanã, Rio de Janeiro, Brazil",Paraguay,1–0,3–0,1989 Copa América
12,17 September 1989,"Estadio Centenario, Montevideo, Uruguay",Bolivia,2–0,2–0,1990 World Cup qualification
13,8 August 1993,"Estadio Hernando Siles, La Paz, Bolivia",Bolivia,1–3,1–3,1994 World Cup qualification
14,12 September 1993,"Estadio Centenario, Montevideo, Uruguay",Bolivia,1–0,2–1,1994 World Cup qualification
15,28 June 1995,"Estadio Atilio Paiva Olivera, Rivera, Uruguay",New Zealand,1–1,2–2,Friendly
16,5 July 1995,"Estadio Centenario, Montevideo, Uruguay",Venezuela,3–1,4–1,1995 Copa América
17,9 July 1995,"Estadio Centenario, Montevideo, Uruguay",Paraguay,1–0,1–0,1995 Copa América
