# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League Cup Apps,League Cup Goals,Europe Apps,Europe Goals,Total Apps,Total Goals
Anderlecht,1983–84,Belgian League,25,5,2,0,–,–,8,1,35,6
Anderlecht,1984–85,Belgian League,30,14,6,2,–,–,4,1,40,17
Anderlecht,1985–86,Belgian League,31,5,2,0,–,–,5,2,38,7
Anderlecht,1986–87,Belgian League,33,8,6,0,–,–,5,1,44,9
Anderlecht,Total,Total,119,32,16,2,–,–,22,5,157,39
Inter Milan,1987–88,Serie A,28,4,10,0,–,–,6,1,44,5
Girondins Bordeaux,1988–89,Division 1,24,7,0,0,–,–,6,1,30,8
Auxerre,1989–90,Division 1,33,11,2,0,–,–,11,5,46,16
Auxerre,1990–91,Division 1,34,14,3,0,0,0,–,–,37,14
Auxerre,Total,Total,67,25,5,0,0,0,11,5,83,30
Torino,1991–92,Serie A,30,9,5,0,–,–,11,2,46,11
Torino,1992–93,Serie A,32,7,6,2,–,–,4,0,42,9
Torino,Total,Total,62,16,11,2,–,–,15,2,88,20
Monaco,1993–94,Division 1,31,6,2,0,0,0,11,2,44,8
Monaco,1994–95,Division 1,11,2,0,0,2,1,–,–,13,3
Monaco,1995–96,Division 1,34,7,3,3,3,0,2,0,42,10
Monaco,1996–97,Division 1,15,5,1,0,2,0,2,0,20,5
Monaco,Total,Total,91,20,6,3,7,1,15,2,119,26
Anderlecht,1997–98,Belgian League,30,4,2,1,–,–,7,2,39,7
Anderlecht,1998–99,Belgian League,27,8,1,1,2,0,4,0,34,9
Anderlecht,1999–2000,Belgian League,17,2,1,0,2,1,1,0,21,3
Anderlecht,Total,Total,74,14,4,2,4,1,12,2,94,19
Charleroi,2000–01,Belgian League,12,3,1,0,–,–,–,–,13,3
Career total,Career total,Career total,477,121,53,9,11,2,87,18,628,150
