# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Standard Liège,1971–72,First Division,1,0,—,—,—,—,—,—,1,0
Standard Liège,1972–73,First Division,9,0,2,0,—,—,—,—,11,0
Standard Liège,1973–74,First Division,30,1,—,—,12,0,2,0,44,1
Standard Liège,1974–75,First Division,37,5,3,1,1,0,2,0,43,6
Standard Liège,1975–76,First Division,34,6,—,—,1,0,—,—,35,6
Standard Liège,1976–77,First Division,31,1,2,0,6,1,—,—,39,2
Standard Liège,1977–78,First Division,25,2,3,0,6,0,—,—,34,2
Standard Liège,1978–79,First Division,33,4,3,0,4,0,—,—,40,4
Standard Liège,1979–80,First Division,27,3,6,0,9,0,—,—,42,3
Standard Liège,1980–81,First Division,29,0,6,0,10,0,—,—,45,0
Standard Liège,1981–82,First Division,31,3,—,—,10,0,—,—,41,3
Standard Liège,1982–83,First Division,33,2,1,0,1,1,—,—,35,3
Standard Liège,Total,Total,320,27,26,1,60,2,4,0,410,30
AC Milan,1983–84,Serie A,13,1,7,0,—,—,—,—,20,1
AC Milan,Total,Total,13,1,7,0,0,0,0,0,20,1
MVV Maastricht,1984–85,Eredivisie,2,0,2,0,—,—,—,—,4,0
MVV Maastricht,Total,Total,2,0,2,0,0,0,0,0,4,0
PSV Eindhoven,1985–86,Eredivisie,29,0,2,0,3,0,—,—,34,0
PSV Eindhoven,1986–87,Eredivisie,30,1,3,0,2,0,—,—,35,1
PSV Eindhoven,1987–88,Eredivisie,30,4,5,2,9,0,—,—,44,6
PSV Eindhoven,1988–89,Eredivisie,31,1,5,0,5,0,2,0,43,1
PSV Eindhoven,1989–90,Eredivisie,33,1,5,0,6,0,—,—,44,1
PSV Eindhoven,1990–91,Eredivisie,24,0,3,0,1,0,—,—,28,0
PSV Eindhoven,1991–92,Eredivisie,23,1,1,0,3,0,—,—,27,1
PSV Eindhoven,Total,Total,200,8,24,2,29,0,2,0,225,10
Career total,Career total,Career total,535,36,59,3,89,2,6,0,689,41
