# Table 2
National Team,Year,Friendlies .mw-parser-output .tooltip-dotted{border-bottom:1px dotted;cursor:help} Apps,Friendlies Goals,European Championships Apps,European Championships Goals,World Cup Apps,World Cup Goals,Total Apps,Total Goals
Belgium,1975,0,0,0,0,1,0,1,0
Belgium,1976,0,0,2,0,1,0,3,0
Belgium,1977,2,0,2,0,0,0,4,0
Belgium,1978,2,0,0,0,2,0,4,0
Belgium,1979,1,0,6,0,0,0,7,0
Belgium,1980,4,0,4,1,3,0,11,1
Belgium,1981,1,0,0,0,4,0,5,0
Belgium,1982,4,0,2,0,3,0,9,0
Belgium,1983,2,0,4,0,0,0,6,0
Belgium,1984,0,0,0,0,0,0,0,0
Belgium,1985,0,0,0,0,3,0,3,0
Belgium,1986,3,0,2,1,6,0,11,1
Belgium,1987,2,0,3,0,0,0,5,0
Belgium,1988,0,0,0,0,1,0,1,0
Belgium,1989,1,0,0,0,5,0,6,0
Belgium,1990,4,0,0,0,3,0,8,0
Belgium,1991,1,0,1,0,0,0,2,0
Total,Total,27,0,27,2,32,0,86,2
