# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Napoli,1992–93,Serie A,2,0,1,0,0,0,–,–,3,0
Napoli,1993–94,Serie A,27,0,2,0,–,–,–,–,29,0
Napoli,1994–95,Serie A,29,1,4,0,3,0,–,–,36,1
Napoli,Total,Total,58,1,7,0,3,0,0,0,68,1
Parma,1995–96,Serie A,29,1,0,0,6,0,1,0,36,1
Parma,1996–97,Serie A,27,0,1,0,2,0,–,–,30,0
Parma,1997–98,Serie A,31,0,6,0,7,0,–,–,44,0
Parma,1998–99,Serie A,30,1,7,0,8,0,–,–,45,1
Parma,1999–2000,Serie A,31,2,3,0,9,1,2,0,45,3
Parma,2000–01,Serie A,33,0,7,0,6,0,–,–,46,0
Parma,2001–02,Serie A,31,1,5,0,9,0,–,–,45,0
Parma,Total,Total,212,5,29,0,47,1,3,0,291,5
Inter Milan,2002–03,Serie A,28,0,0,0,12,1,–,–,40,1
Inter Milan,2003–04,Serie A,22,2,3,0,9,0,–,–,34,2
Inter Milan,Total,Total,50,2,3,0,21,1,0,0,74,3
Juventus,2004–05,Serie A,38,2,0,0,9,1,–,–,47,3
Juventus,2005–06,Serie A,36,4,2,0,9,0,1,0,48,4
Juventus,Total,Total,74,6,2,0,18,1,1,0,95,7
Real Madrid,2006–07,La Liga,32,0,1,0,6,0,–,–,39,0
Real Madrid,2007–08,La Liga,33,0,1,0,6,0,2,1,42,1
Real Madrid,2008–09,La Liga,29,0,1,0,7,0,–,–,37,0
Real Madrid,Total,Total,94,0,3,0,19,0,2,1,118,1
Juventus,2009–10,Serie A,27,0,1,0,5,0,–,–,33,0
Al-Ahli Dubai,2010–11,UAE Pro League,16,2,0,0,0,0,–,–,16,2
Career total,Career total,Career total,531,16,45,0,113,3,6,1,695,19
