# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Coppa Italia Apps,Coppa Italia Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Padova,1991–92,Serie B,4,0,0,0,—,—,—,—,4,0
Padova,1992–93,Serie B,10,1,0,0,—,—,—,—,10,1
Padova,Total,Total,14,1,0,0,—,—,—,—,14,1
Juventus,1993–94,Serie A,11,5,1,0,2,0,—,—,14,5
Juventus,1994–95,Serie A,29,8,10,1,11,2,—,—,50,11
Juventus,1995–96,Serie A,29,6,2,1,11,6,1,0,43,13
Juventus,1996–97,Serie A,22,8,4,0,6,4,3,3,35,15
Juventus,1997–98,Serie A,32,21,4,1,10,10,1,0,47,32
Juventus,1998–99,Serie A,8,2,1,0,4,0,1,1,14,3
Juventus,1999–2000,Serie A,34,9,2,1,9,2,—,—,45,12
Juventus,2000–01,Serie A,25,9,2,0,6,0,—,—,33,9
Juventus,2001–02,Serie A,32,16,4,1,10,4,—,—,46,21
Juventus,2002–03,Serie A,24,16,0,0,13,5,1,2,38,23
Juventus,2003–04,Serie A,22,8,4,3,4,3,1,0,31,14
Juventus,2004–05,Serie A,30,14,1,0,10,3,—,—,41,17
Juventus,2005–06,Serie A,33,12,4,5,7,3,1,0,45,20
Juventus,2006–07,Serie B,35,20,2,3,—,—,—,—,37,23
Juventus,2007–08,Serie A,37,21,4,3,—,—,—,—,41,24
Juventus,2008–09,Serie A,31,13,3,2,9,6,—,—,43,21
Juventus,2009–10,Serie A,23,9,1,2,5,0,—,—,29,11
Juventus,2010–11,Serie A,33,8,2,0,10,3,—,—,45,11
Juventus,2011–12,Serie A,23,3,5,2,—,—,—,—,28,5
Juventus,Total,Total,513,208,56,25,127,51,9,6,705,290
Sydney FC,2012–13,A-League,24,14,—,—,—,—,—,—,24,14
Sydney FC,2013–14,A-League,24,10,—,—,—,—,—,—,24,10
Sydney FC,Total,Total,48,24,—,—,—,—,—,—,48,24
Delhi Dynamos,2014,Indian Super League,10,1,—,—,—,—,—,—,10,1
Career total,Career total,Career total,585,234,56,25,127,51,9,6,777,316
