# List of international goals scored by Alessandro Del Piero
No.,Date,Venue,Opponent,Score,Result,Competition
1,15 November 1995,"Stadio Giglio, Reggio Emilia, Italy",Lithuania,1– 0,4–0,UEFA Euro 1996 qualification
2,24 January 1996,"Stadio Libero Liberati, Terni, Italy",Wales,1– 0,3–0,Friendly
3,29 May 1996,"Stadio Giovanni Zini, Cremona, Italy",Belgium,1– 2,2–2,Friendly
4,22 January 1997,"Stadio Renzo Barbera, Palermo, Italy",Northern Ireland,2– 0,2–0,Friendly
5,8 June 1997,"Stade de Gerland, Lyon, France",Brazil,1– 0,3–3,1997 Tournoi de France
6,8 June 1997,"Stade de Gerland, Lyon, France",Brazil,3–1,3–3,1997 Tournoi de France
7,11 June 1997,"Parc des Princes, Paris, France",France,2– 2,2–2,1997 Tournoi de France
8,28 January 1998,"Stadio Angelo Massimino, Catania, Italy",Slovakia,2– 0,3–0,Friendly
9,10 October 1998,"Stadio Friuli, Udine, Italy",Switzerland,1– 0,2–0,UEFA Euro 2000 qualification
10,10 October 1998,"Stadio Friuli, Udine, Italy",Switzerland,2– 0,2–0,UEFA Euro 2000 qualification
11,23 February 2000,"Stadio Renzo Barbera, Palermo, Italy",Sweden,1– 0,1–0,Friendly
12,19 June 2000,"Philips Stadion, Eindhoven, Netherlands",Sweden,2– 1,2–1,UEFA Euro 2000
13,11 October 2000,"Stadio del Conero, Ancona, Italy",Georgia,1– 0,2–0,2002 FIFA World Cup qualification
14,11 October 2000,"Stadio del Conero, Ancona, Italy",Georgia,2– 0,2–0,2002 FIFA World Cup qualification
15,28 March 2001,"Stadio Nereo Rocco, Trieste, Italy",Lithuania,2– 0,4–0,2002 FIFA World Cup qualification
16,28 March 2001,"Stadio Nereo Rocco, Trieste, Italy",Lithuania,4– 0,4–0,2002 FIFA World Cup qualification
17,6 October 2001,"Stadio Ennio Tardini, Parma, Italy",Hungary,1– 0,1–0,2002 FIFA World Cup qualification
18,13 February 2002,"Stadio Angelo Massimino, Catania, Italy",United States,1– 0,1–0,Friendly
19,13 June 2002,"Ōita Stadium, Ōita, Japan",Mexico,1– 1,1–1,2002 FIFA World Cup
20,7 September 2002,"Tofiq Bahramov Stadium, Baku, Azerbaijan",Azerbaijan,2– 0,2–0,UEFA Euro 2004 qualification
21,12 October 2002,"Stadio San Paolo, Naples, Italy",FR Yugoslavia,1– 1,1–1,UEFA Euro 2004 qualification
22,16 October 2002,"Millennium Stadium, Cardiff, Wales",Wales,1– 1,1–2,UEFA Euro 2004 qualification
23,11 June 2003,"Helsinki Olympic Stadium, Helsinki, Finland",Finland,2– 0,2–0,UEFA Euro 2004 qualification
24,6 September 2003,"Stadio Giuseppe Meazza, Milan, Italy",Wales,4– 0,4–0,UEFA Euro 2004 qualification
25,8 September 2004,"Stadionul Republican, Chişinău, Moldova",Moldova,1– 0,1–0,2006 FIFA World Cup qualification
26,1 March 2006,"Stadio Artemio Franchi, Firenze, Italy",Germany,4– 0,4–1,Friendly
27,4 July 2006,"Westfalenstadion, Dortmund, Germany",Germany,2– 0,2–0,2006 FIFA World Cup
